Geneid	Chr	Start	End	Strand	Length	R5_Solid1_counts	T3_CS1_counts	350_Sco1_counts	T1_CS2_counts	T3_PS2_counts	T4_PS1_counts	T4_CS2_counts	T1_PS2_counts	T3_PS1_counts	T1_CS1_counts	T2_PS2_counts	350_Sco2_counts	T4_PS2_counts	T1_PS1_counts	T2_PS1_counts	T2_CS2_counts	CTT_Sco1_counts	T2_CS1_counts	T4_CS1_counts	CTT_Sco2_counts	T3_CS2_counts	R5_Solid2_counts
SCO0021	NC_003888.3	21617	22207	+	591	153.25	26.25	10.0	20.0	41.5	50.0	41.25	11.0	38.5	5.0	34.25	10.0	35.25	18.0	45.25	28.25	25.25	41.0	67.0	33.25	45.0	163.5
SCO0022	NC_003888.3;NC_003888.3;NC_003888.3	22159;22290;22624	22299;22430;22761	-;-;-	410	25.0	3.0	2.0	0.0	5.0	5.0	0.0	1.0	4.0	0.0	5.0	0.0	9.0	10.0	6.0	2.0	10.0	2.0	4.0	1.0	0.0	16.0
SCO0025	NC_003888.3	22843	23058	+	216	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	3.0	4.0	1.0	0.0	0.0	0.0	1.0	5.0	3.0
SCO0026	NC_003888.3	23316	23828	+	513	187.0	28.0	6.0	48.0	28.0	30.0	18.0	7.0	47.0	17.0	39.0	12.0	21.0	29.0	39.0	25.0	32.0	31.0	27.0	37.0	31.0	227.0
SCO0027	NC_003888.3	23980	24345	-	366	6.0	8.5	0.0	0.0	8.5	9.0	2.0	0.0	9.5	0.5	7.0	0.0	9.5	39.5	7.0	1.0	0.5	0.0	8.0	1.0	25.0	6.5
SCO0028	NC_003888.3	24381	24521	-	141	3.0	3.5	0.0	0.0	4.5	6.0	1.0	0.0	4.5	0.5	3.0	0.0	3.5	10.5	4.0	1.0	0.5	0.0	4.0	2.0	12.0	3.5
SCO0029	NC_003888.3	24644	24940	+	297	3.0	11.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	18.0	1.0	2.0	35.0	19.0	2.0	1.0	1.0	8.0	1.0	16.0	4.0
SCO0030	NC_003888.3	25251	25868	+	618	4.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	17.0	1.0	4.0	54.0	13.0	3.0	0.0	0.0	0.0	2.0	17.0	3.0
SCO0031	NC_003888.3	25846	26385	-	540	38.0	15.0	5.0	10.0	26.0	24.0	13.0	2.0	20.0	6.0	34.0	7.0	20.0	31.0	29.0	12.0	8.0	12.0	51.0	3.0	40.0	62.0
SCO0033	NC_003888.3	26530	28773	-	2244	985.0	14.0	5.0	1.0	14.0	14.0	7.0	1.0	15.0	0.0	40.0	3.0	6.0	85.0	40.0	7.0	9.0	1.0	21.0	7.0	23.0	1056.0
SCO0034	NC_003888.3	29040	29516	+	477	9.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	14.0	9.0	3.0	0.0	1.0	0.0	2.0	5.0	6.0
SCO0035	NC_003888.3	29608	30054	-	447	14.5	13.5	3.0	2.0	20.0	16.0	6.0	1.0	20.0	0.0	9.0	4.0	13.5	6.0	7.0	4.0	6.0	8.0	7.0	6.0	8.0	13.0
SCO0036	NC_003888.3	30119	30355	-	237	15.0	31.0	7.0	12.0	44.0	20.5	11.5	2.0	77.5	10.0	50.5	3.0	40.0	19.0	22.0	33.0	11.0	32.0	37.5	10.0	14.0	19.0
SCO0037	NC_003888.3	30382	31131	-	750	406.0	456.5	60.5	489.5	555.0	520.5	458.5	318.5	579.5	144.0	847.5	46.0	594.5	296.0	759.5	295.5	213.0	407.0	680.0	224.0	372.5	415.0
SCO0038	NC_003888.3	31149	31274	-	126	531.5	427.0	40.5	598.5	362.0	433.0	516.0	473.5	430.0	211.0	986.0	37.0	535.0	347.0	1023.5	358.5	209.0	560.0	792.5	214.0	455.5	453.0
SCO0039	NC_003888.3	31520	32134	+	615	9.0	17.0	3.0	0.0	17.0	22.0	13.0	1.0	8.5	4.0	29.5	0.5	20.0	38.0	27.0	15.0	2.0	6.0	17.0	7.0	34.0	12.5
SCO0040	NC_003888.3	32134	33354	+	1221	8.5	8.0	0.0	0.0	10.0	5.0	6.0	0.5	11.0	3.0	18.5	3.5	14.0	86.5	24.5	6.5	7.5	1.0	20.0	2.0	19.5	13.5
SCO0041	NC_003888.3	33360	33842	+	483	1.5	1.5	1.0	0.0	1.0	0.0	1.0	0.5	2.5	0.0	3.0	0.0	0.0	38.0	10.5	1.5	0.5	0.0	0.0	1.0	29.5	1.0
SCO0042	NC_003888.3	33842	34774	+	933	6.0	10.5	1.0	3.0	5.0	7.0	10.0	0.0	11.0	0.0	32.0	2.0	13.0	63.5	30.0	5.0	3.0	2.0	8.0	3.0	40.0	8.0
SCO0043	NC_003888.3	35182	35907	-	726	114.0	27.0	4.0	27.0	34.0	30.0	36.0	9.0	27.0	12.0	31.0	5.0	23.0	57.0	33.0	18.0	13.0	25.0	45.0	11.0	29.0	109.0
SCO0044	NC_003888.3	36009	36674	-	666	7.5	2.0	5.5	2.5	5.0	3.0	0.0	1.0	6.0	0.0	9.5	2.0	5.0	27.5	12.5	1.0	1.0	2.0	0.0	5.0	36.0	16.5
SCO0045	NC_003888.3	36692	36817	-	126	0.5	1.0	0.5	0.5	2.0	2.0	0.0	0.0	0.0	0.0	1.5	0.0	4.0	9.5	5.5	0.0	1.0	0.0	14.0	0.0	0.0	0.5
SCO0046	NC_003888.3	36816	37475	+	660	11.0	8.0	7.0	3.0	5.0	8.0	4.0	1.0	19.0	0.0	25.0	1.0	15.0	36.0	23.0	7.0	2.0	6.0	0.0	1.0	34.0	15.0
SCO0047	NC_003888.3	37617	38768	-	1152	130.0	385.0	24.0	89.0	375.0	286.0	236.0	44.0	322.0	45.0	219.0	20.0	330.0	218.0	220.0	146.0	43.0	116.0	346.0	44.0	256.0	128.0
SCO0048	NC_003888.3	39110	39490	-	381	48.0	8.0	2.0	1.0	27.0	11.0	8.0	1.0	20.0	1.0	24.0	4.0	28.0	15.0	23.0	15.0	5.0	4.0	35.0	8.0	8.0	49.0
SCO0049	NC_003888.3	39489	39809	+	321	123.5	59.0	6.0	2.5	107.0	52.5	29.0	3.0	132.0	1.5	85.0	2.0	96.5	8.0	97.0	48.0	18.0	48.5	50.0	22.0	49.0	92.0
SCO0050	NC_003888.3	39877	40209	+	333	64.5	33.0	3.0	7.5	70.0	58.5	39.0	4.0	58.0	1.5	29.0	0.0	60.5	4.0	35.0	43.0	9.0	56.5	39.0	20.0	32.0	96.0
SCO0055	NC_003888.3	42174	43682	-	1509	362.0	161.0	50.0	185.0	201.0	115.0	120.0	74.0	191.0	88.0	140.0	44.0	171.0	178.0	214.0	78.0	204.0	98.0	186.0	178.0	107.0	437.0
SCO0056	NC_003888.3	43768	43854	+	87	11.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	5.0	2.0	0.0	0.0	2.5	1.0	1.0	0.0	0.0	3.0	4.0	14.0
SCO0057	NC_003888.3	43950	44087	+	138	108.0	14.0	2.0	3.0	19.0	11.0	18.0	4.0	16.0	4.0	23.0	0.0	23.0	28.0	24.5	20.0	15.0	15.0	46.0	13.0	15.0	109.0
SCO0058	NC_003888.3	44253	44972	+	720	327.0	114.0	12.0	43.0	215.0	152.0	97.0	25.0	206.0	31.0	101.0	6.0	132.0	115.0	83.0	51.0	60.0	57.0	238.0	59.0	130.0	471.0
SCO0059	NC_003888.3	45267	46070	+	804	50.0	98.5	2.0	15.0	113.5	91.0	69.0	10.0	123.0	7.0	92.5	5.5	113.5	77.5	65.5	28.0	15.5	33.0	130.0	10.5	142.0	64.5
SCO0060	NC_003888.3	46064	46198	+	135	1.0	17.5	1.0	0.0	13.5	16.0	14.0	0.0	13.0	0.0	5.5	0.5	11.5	11.5	1.5	5.0	0.5	0.0	7.0	0.5	4.0	0.5
SCO0061	NC_003888.3	46433	47734	-	1302	111.0	107.0	34.0	44.5	165.5	190.0	127.5	14.0	162.0	34.5	113.5	36.5	197.5	135.5	80.0	80.0	115.5	85.5	238.5	125.0	133.0	155.5
SCO0062	NC_003888.3	47792	48892	-	1101	132.0	240.5	19.5	61.5	388.5	449.5	214.5	30.5	329.5	37.5	194.5	27.5	456.0	181.5	161.0	141.0	111.0	102.0	459.0	103.5	206.0	181.5
SCO0063	NC_003888.3	48892	49824	-	933	130.0	65.5	9.0	35.5	98.0	94.0	74.0	10.5	62.5	33.5	93.5	16.5	95.0	112.0	85.5	72.5	39.5	63.5	99.5	40.5	99.5	125.5
SCO0064	NC_003888.3	49824	51539	-	1716	17.0	31.0	8.5	35.5	38.0	11.5	32.0	9.0	21.0	11.5	43.5	10.5	20.5	90.0	42.5	6.5	2.0	13.0	35.0	5.0	73.5	25.5
SCO0065	NC_003888.3	51831	53141	+	1311	20.5	35.0	7.0	11.5	39.0	14.5	12.0	3.0	45.5	3.0	55.5	7.0	34.0	78.5	38.5	14.5	5.0	16.0	29.5	2.0	62.0	29.0
SCO0066	NC_003888.3	53141	54097	+	957	16.0	10.0	2.0	5.0	26.0	6.5	2.0	3.0	19.0	0.5	17.0	4.5	16.0	57.5	16.0	3.0	3.0	9.5	8.5	2.0	20.5	10.5
SCO0067	NC_003888.3	54097	54915	+	819	10.5	15.0	8.0	3.5	14.0	8.0	7.0	5.0	5.5	0.5	15.0	5.5	6.0	19.0	16.0	4.5	3.0	4.5	9.0	1.0	8.5	15.5
SCO0068	NC_003888.3	54968	56170	+	1203	7.0	29.0	5.0	12.5	16.5	15.0	13.0	2.0	20.5	2.0	41.0	3.0	28.0	59.0	44.0	18.0	6.0	11.0	27.0	13.5	46.0	9.0
SCO0069	NC_003888.3	56225	59380	+	3156	11.0	60.0	3.0	10.5	27.5	50.0	22.0	9.0	71.5	14.0	69.5	8.0	51.0	186.0	76.5	19.0	12.0	18.0	53.0	7.5	120.0	34.0
SCO0070	NC_003888.3	59558	60238	+	681	5.0	6.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	20.0	1.0	1.0	47.0	14.0	3.0	1.0	1.0	0.0	2.0	10.0	7.0
SCO0071	NC_003888.3	60072	60275	-	204	45.0	10.0	3.0	3.0	21.0	13.0	12.0	3.0	18.0	0.0	17.0	3.0	35.0	8.0	17.0	2.0	12.0	14.0	7.0	6.0	26.0	76.0
SCO0072	NC_003888.3	60743	64093	-	3351	1515.0	1235.0	230.0	79.0	1632.0	1049.0	618.0	61.0	1644.0	52.0	653.0	284.0	1415.0	300.0	654.0	479.0	517.0	372.0	1116.0	496.0	763.0	2705.0
SCO0073	NC_003888.3	64605	64922	+	318	9.0	1.0	7.0	0.5	6.5	5.0	1.0	3.0	5.0	0.0	17.0	9.0	1.5	15.0	13.0	1.0	4.5	1.0	6.0	6.0	2.0	30.5
SCO0074	NC_003888.3	64994	65089	+	96	12.0	1.0	0.5	0.5	0.5	1.0	0.0	0.0	2.0	0.0	1.5	1.5	0.5	5.5	1.5	0.0	3.0	0.0	0.0	6.5	1.0	8.5
SCO0075	NC_003888.3	65092	65676	+	585	115.0	23.0	2.5	23.0	44.0	65.0	44.0	2.0	36.0	6.0	63.5	3.5	56.0	41.5	91.5	46.0	38.5	40.0	44.0	31.5	16.0	82.0
SCO0079	NC_003888.3	66691	67911	-	1221	61.0	42.0	6.0	7.0	48.0	29.0	30.0	5.0	63.0	8.0	49.0	5.0	23.0	11.0	49.0	27.0	16.0	17.0	25.0	9.0	20.0	60.0
SCO0080	NC_003888.3	68372	68884	+	513	102.0	23.0	5.0	10.0	51.0	20.0	18.0	8.0	41.0	10.0	13.0	11.0	35.0	5.0	18.0	12.0	9.0	27.0	60.0	6.0	35.0	138.0
SCO0083	NC_003888.3	69799	70644	+	846	34.0	32.0	4.0	5.0	45.0	45.0	19.0	6.0	41.0	0.0	62.0	3.0	28.0	45.0	55.0	26.0	11.0	22.0	17.0	4.0	36.0	30.0
SCO0084	NC_003888.3	70777	71232	+	456	178.0	72.0	16.0	12.0	86.0	44.0	50.0	5.0	76.0	9.0	84.0	8.0	55.0	21.0	103.0	47.0	31.0	58.0	85.0	42.0	27.0	162.0
SCO0085	NC_003888.3	71651	72139	-	489	6.0	2.0	2.5	4.5	11.5	4.5	11.5	1.0	8.0	2.0	20.0	1.0	9.0	34.5	14.5	1.0	4.0	3.5	17.5	1.0	16.0	5.0
SCO0086	NC_003888.3	72162	73097	-	936	39.0	88.0	6.5	43.5	47.5	36.5	50.5	14.0	59.0	22.0	68.0	5.0	45.0	74.5	50.5	33.0	27.0	32.5	136.5	23.0	75.0	51.0
SCO0087	NC_003888.3	73787	74833	-	1047	78.5	53.0	3.0	24.0	43.5	39.0	25.0	12.0	54.0	11.0	29.0	13.0	34.0	96.0	34.0	15.0	37.0	23.0	52.0	42.0	60.0	84.0
SCO0088	NC_003888.3	74920	75876	-	957	47.5	72.0	6.0	23.0	81.5	89.0	61.0	15.0	58.0	13.0	54.0	11.0	79.0	79.0	48.0	35.0	23.0	43.0	89.0	27.0	46.0	66.0
SCO0089	NC_003888.3	75856	76890	+	1035	300.0	318.0	30.0	77.0	362.0	284.0	226.0	24.0	372.0	46.0	271.0	25.0	255.0	209.0	203.0	125.0	107.0	140.0	540.0	125.0	293.0	346.0
SCO0090	NC_003888.3	76898	77314	-	417	15.67	32.71	3.6	3.46	33.01	22.14	27.51	1.6	37.37	5.44	20.73	6.93	23.73	14.62	15.74	10.68	8.39	10.07	30.44	3.14	21.07	18.12
SCO0091	NC_003888.3	77315	78268	+	954	174.52	127.13	33.75	41.53	118.89	86.43	66.66	20.49	127.6	30.82	112.09	36.71	95.05	129.41	103.27	78.14	63.93	64.73	93.74	68.65	93.13	179.14
SCO0095	NC_003888.3	78986	79702	-	717	7.0	7.0	1.0	0.0	6.0	2.0	0.0	0.0	4.0	1.0	11.0	3.0	2.0	26.0	16.0	2.0	2.0	3.0	7.0	6.0	11.0	11.0
SCO0096	NC_003888.3	79842	80690	-	849	222.0	200.0	31.0	117.0	403.0	281.0	149.0	70.0	392.0	50.0	262.0	16.0	305.0	211.0	299.0	148.0	82.0	169.0	203.0	93.0	249.0	337.0
SCO0097	NC_003888.3	80848	81165	-	318	284.0	331.0	43.0	82.0	608.0	333.0	194.0	44.0	550.0	51.0	272.0	39.0	430.0	127.0	227.0	193.0	121.0	209.0	262.0	103.0	327.0	428.0
SCO0098	NC_003888.3	81605	82441	-	837	80.5	36.16	43.66	10.0	45.66	17.0	9.67	4.33	46.5	11.5	9.0	58.0	26.5	16.17	15.0	8.17	41.16	7.33	11.67	46.0	24.5	77.16
SCO0101	NC_003888.3	83519	83992	-	474	70.0	58.0	17.0	140.0	123.0	110.0	66.0	32.0	112.0	69.0	74.0	8.0	113.0	95.0	81.0	48.0	90.0	74.0	143.0	79.0	85.0	82.0
SCO0102	NC_003888.3	84893	85336	+	444	43.5	35.0	7.0	41.0	30.0	38.0	32.5	11.5	31.0	10.5	67.0	8.5	27.5	51.5	61.0	19.5	26.5	38.5	80.0	19.5	70.0	84.0
SCO0103	NC_003888.3	85336	86640	+	1305	109.5	46.5	22.0	30.0	40.5	26.0	37.5	22.0	47.5	12.0	50.5	15.0	28.5	104.5	62.0	34.0	48.5	28.5	61.0	38.0	54.5	166.5
SCO0104	NC_003888.3	86640	87308	+	669	103.0	54.5	14.0	24.0	53.5	26.0	13.0	10.5	66.5	13.5	73.5	20.5	29.0	67.0	50.0	32.5	50.0	20.0	59.0	32.5	76.5	158.5
SCO0105	NC_003888.3	87910	88632	-	723	123.0	25.0	20.0	4.0	39.0	34.0	18.0	1.0	46.0	4.0	43.0	13.0	45.0	20.0	60.0	25.0	25.0	18.0	46.0	29.0	25.0	184.0
SCO0106	NC_003888.3	89073	89462	+	390	144.0	59.0	5.0	20.0	65.0	92.0	68.0	22.0	83.0	19.0	227.0	4.0	96.0	75.0	206.0	56.0	30.0	89.0	106.0	35.0	58.0	142.0
SCO0107	NC_003888.3	89489	90043	-	555	356.0	28.0	52.0	28.0	26.0	18.0	34.0	4.0	27.0	16.0	28.0	37.0	24.0	35.0	28.0	11.0	116.0	19.0	65.0	105.0	49.0	421.0
SCO0108	NC_003888.3	90242	90388	+	147	18.0	14.0	1.0	0.0	33.0	17.0	1.0	1.0	33.0	0.0	25.0	0.0	23.0	3.0	13.0	4.0	3.0	2.0	8.0	3.0	6.0	17.0
SCO0109	NC_003888.3	90398	90865	-	468	67.5	27.0	6.0	11.0	34.0	23.0	13.0	7.0	47.0	8.0	57.0	8.0	30.0	22.0	47.0	20.0	34.0	19.0	50.0	36.0	42.0	69.0
SCO0110	NC_003888.3	90954	91790	-	837	420.5	517.0	25.0	65.0	564.0	344.0	238.0	33.0	605.0	35.0	294.0	33.0	393.0	114.0	251.0	157.0	157.0	171.0	359.0	161.0	344.0	426.0
SCO0111	NC_003888.3	91977	92726	+	750	23.0	26.0	0.0	0.0	13.0	21.0	9.0	0.0	13.0	8.0	36.0	1.0	19.0	44.0	38.0	16.0	4.0	7.0	14.0	9.0	12.0	22.0
SCO0112	NC_003888.3	92776	92928	-	153	4.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	3.0	5.0	0.0	0.0	9.0	3.0	2.0	0.0	0.0	0.0	0.0	16.0	3.0
SCO0116	NC_003888.3	94309	94872	-	564	160.0	141.0	8.0	43.0	167.0	77.0	58.0	16.0	267.0	32.0	141.0	5.0	85.0	76.0	128.0	68.0	50.0	83.0	93.0	30.0	109.0	219.0
SCO0117	NC_003888.3	94989	95678	+	690	10.0	13.0	9.0	4.0	7.0	8.0	4.0	3.0	13.0	6.0	20.0	4.0	13.0	38.0	19.0	9.0	5.0	5.0	9.0	6.0	16.0	9.0
SCO0118	NC_003888.3	95989	97515	+	1527	351.0	249.0	31.0	148.0	218.0	178.0	228.0	91.0	250.0	116.0	196.0	34.0	133.0	334.0	198.0	88.0	232.0	96.0	234.0	249.0	159.0	468.0
SCO0119	NC_003888.3	97763	98281	-	519	177.0	9.0	2.0	27.0	4.0	2.0	12.0	12.0	3.0	11.0	15.0	1.0	8.0	40.0	24.0	4.0	44.0	11.0	3.0	23.0	33.0	222.0
SCO0120	NC_003888.3	98466	99338	-	873	69.5	20.5	1.0	14.5	20.5	23.5	15.0	8.0	26.5	21.0	24.5	4.0	28.5	60.5	35.0	9.5	17.0	7.0	24.5	13.5	25.0	81.0
SCO0121	NC_003888.3	99338	99949	-	612	209.5	60.5	2.0	51.5	54.5	61.5	52.0	9.0	54.5	17.0	91.5	4.0	91.5	41.5	111.0	51.5	41.0	56.0	67.5	33.5	70.0	200.0
SCO0122	NC_003888.3	100190	101563	+	1374	113.0	41.0	4.0	11.0	15.0	9.0	8.0	3.0	25.0	4.0	77.0	1.0	19.0	80.0	71.0	28.0	9.0	14.0	50.0	9.0	18.0	93.0
SCO0123	NC_003888.3	101659	103002	-	1344	39.0	20.0	2.0	9.0	15.0	21.0	18.0	3.0	10.0	7.0	66.0	2.0	16.0	115.0	38.0	11.0	9.0	5.0	61.0	8.0	100.0	70.0
SCO0124	NC_003888.3	103628	104986	+	1359	94.5	19.0	0.0	4.0	19.0	30.0	36.0	0.0	26.0	1.0	31.0	1.0	36.0	100.0	27.0	5.0	7.0	7.0	48.0	6.0	55.0	103.0
SCO0125	NC_003888.3	105057	106637	+	1581	41.5	6.0	0.0	6.0	6.0	6.0	9.5	9.0	4.0	2.0	38.5	1.0	11.0	159.0	37.0	6.5	3.0	2.0	32.0	2.5	43.0	68.5
SCO0126	NC_003888.3	106637	112882	+	6246	179.0	82.5	8.0	36.5	53.0	72.5	119.5	15.0	75.0	13.0	151.0	5.0	93.0	559.5	168.0	25.5	24.0	26.0	185.0	28.5	257.0	201.5
SCO0127	NC_003888.3	112932	119651	+	6720	147.0	64.5	6.0	28.5	66.5	85.5	86.0	2.0	65.0	9.0	206.5	11.0	91.0	538.0	216.5	35.0	26.0	27.0	123.0	22.5	189.5	219.0
SCO0128	NC_003888.3	119651	119830	+	180	3.0	1.0	0.0	0.0	2.5	0.0	2.0	0.0	3.0	0.0	2.0	0.0	5.0	19.0	1.5	0.0	0.0	0.0	4.0	0.5	4.5	1.5
SCO0129	NC_003888.3	119841	120212	+	372	9.0	4.0	2.0	0.0	5.0	0.0	5.0	1.0	1.0	0.0	13.0	1.0	3.0	19.5	13.0	0.0	4.0	1.0	0.0	2.0	5.0	9.5
SCO0130	NC_003888.3	120457	121368	+	912	54.0	11.0	1.0	15.0	13.0	21.0	18.0	3.0	22.0	5.0	33.0	2.0	19.0	37.0	21.0	15.0	14.0	14.0	16.0	6.0	13.0	96.0
SCO0131	NC_003888.3	121620	122456	-	837	79.0	5.0	0.0	0.0	9.0	2.0	21.0	1.0	3.0	1.0	22.0	4.0	5.0	33.0	16.0	5.0	3.0	6.0	5.0	1.0	4.0	106.0
SCO0132	NC_003888.3	122743	125499	+	2757	1085.0	2144.0	95.0	212.0	1499.0	1048.0	1610.0	99.0	1728.0	94.0	1000.0	79.0	1208.0	595.0	699.0	433.0	236.0	465.0	2302.0	234.0	1385.0	997.0
SCO0133	NC_003888.3	125628	126005	-	378	9.0	5.0	0.0	1.0	4.0	8.0	4.0	0.0	6.0	1.0	12.0	4.0	4.0	26.0	16.0	3.0	0.0	2.0	10.0	0.0	18.0	7.0
SCO0134	NC_003888.3	126992	127294	-	303	5.0	22.0	2.0	1.0	25.0	17.0	21.0	0.0	29.0	0.0	26.0	2.0	16.0	41.0	4.0	7.0	2.0	3.0	21.0	5.0	33.0	12.0
SCO0135	NC_003888.3	127571	128287	+	717	89.0	175.0	4.0	58.0	175.0	166.0	174.0	10.0	172.0	36.0	157.0	9.0	175.0	94.0	124.0	52.0	23.0	66.0	251.0	29.0	144.0	92.0
SCO0136	NC_003888.3	128637	130184	-	1548	104.5	368.0	14.0	100.0	583.5	314.5	371.5	27.5	544.0	59.0	235.5	14.0	309.5	171.5	222.5	128.0	51.0	144.0	645.0	49.5	448.0	121.0
SCO0137	NC_003888.3	130204	131001	-	798	139.5	334.0	19.0	98.0	414.5	229.5	204.5	33.5	436.0	73.0	174.5	15.0	222.5	120.5	147.5	118.0	52.0	137.0	325.0	62.5	300.0	109.0
SCO0138	NC_003888.3	131523	132293	+	771	6.5	13.5	1.0	4.5	12.0	17.0	14.0	0.0	22.0	1.0	24.5	3.0	3.0	54.5	29.5	5.5	5.0	6.0	30.0	6.0	33.0	17.0
SCO0139	NC_003888.3	132327	132644	+	318	1.0	7.5	1.0	6.0	1.0	8.5	1.5	0.0	6.5	0.0	7.0	1.5	1.0	21.5	6.0	0.5	1.5	0.5	0.0	2.0	19.0	4.5
